pressure_mmHg,sensVal,Calculated Value
21.75,619,22.00537945
21.75,620,22.07481176
21.75,622,22.21367637
21.75,620,22.07481176
21.75,620,22.07481176
21.75,622,22.21367637
21.75,621,22.14424406
21.75,620,22.07481176
21.75,623,22.28310867
21.75,622,22.21367637
21.75,620,22.07481176
21.75,623,22.28310867
21.75,626,22.49140559
21.75,621,22.14424406
21.75,622,22.21367637
21.75,624,22.35254098
21.75,622,22.21367637
21.75,622,22.21367637
21.75,624,22.35254098
21.75,623,22.28310867
21.75,622,22.21367637
21.75,624,22.35254098
21.75,624,22.35254098
21.75,622,22.21367637
21.75,624,22.35254098
21.75,625,22.42197329
21.75,623,22.28310867
21.75,623,22.28310867
21.75,626,22.49140559
21.75,624,22.35254098
21.75,623,22.28310867
21.75,627,22.5608379
21.75,625,22.42197329
21.75,623,22.28310867
21.75,626,22.49140559
21.75,626,22.49140559
21.75,624,22.35254098
22.5,625,22.42197329
22.5,627,22.5608379
22.5,625,22.42197329
22.5,625,22.42197329
22.5,627,22.5608379
22.5,625,22.42197329
22.5,625,22.42197329
21.75,627,22.5608379
21.75,627,22.5608379
21.75,625,22.42197329
21.75,627,22.5608379
21.75,628,22.6302702
21.75,625,22.42197329
21.75,627,22.5608379
21.75,628,22.6302702
21.75,626,22.49140559
21.75,626,22.49140559
22.5,629,22.69970251
22.5,627,22.5608379
22.5,626,22.49140559
22.5,628,22.6302702
22.5,629,22.69970251
22.5,626,22.49140559
22.5,628,22.6302702
22.5,629,22.69970251
21.75,628,22.6302702
21.75,628,22.6302702
21.75,628,22.6302702
21.75,628,22.6302702
21.75,627,22.5608379
21.75,630,22.76913482
21.75,629,22.69970251
21.75,628,22.6302702
21.75,630,22.76913482
21.75,630,22.76913482
21.75,628,22.6302702
21.75,629,22.69970251
22.5,631,22.83856712
22.5,629,22.69970251
22.5,630,22.76913482
22.5,631,22.83856712
22.5,630,22.76913482
22.5,629,22.69970251
22.5,631,22.83856712
22.5,631,22.83856712
22.5,629,22.69970251
22.5,633,22.97743173
22.5,632,22.90799943
22.5,629,22.69970251
22.5,630,22.76913482
22.5,632,22.90799943
22.5,630,22.76913482
22.5,630,22.76913482
22.5,632,22.90799943
22.5,631,22.83856712
22.5,630,22.76913482
22.5,632,22.90799943
22.5,632,22.90799943
22.5,631,22.83856712
22.5,632,22.90799943
22.5,633,22.97743173
22.5,631,22.83856712
22.5,632,22.90799943
22.5,634,23.04686404
22.5,632,22.90799943
22.5,632,22.90799943
22.5,634,23.04686404
22.5,633,22.97743173
22.5,631,22.83856712
22.5,634,23.04686404
22.5,634,23.04686404
22.5,632,22.90799943
22.5,632,22.90799943
22.5,635,23.11629635
22.5,633,22.97743173
22.5,633,22.97743173
22.5,635,23.11629635
22.5,634,23.04686404
22.5,633,22.97743173
22.5,635,23.11629635
22.5,635,23.11629635
22.5,633,22.97743173
22.5,635,23.11629635
22.5,636,23.18572865
22.5,633,22.97743173
22.5,634,23.04686404
22.5,636,23.18572865
22.5,634,23.04686404
22.5,634,23.04686404
22.5,636,23.18572865
22.5,635,23.11629635
22.5,633,22.97743173
22.5,636,23.18572865
22.5,636,23.18572865
22.5,633,22.97743173
21.75,635,23.11629635
21.75,637,23.25516096
21.75,634,23.04686404
21.75,635,23.11629635
21.75,637,23.25516096
21.75,634,23.04686404
21.75,634,23.04686404
21.75,637,23.25516096
21.75,636,23.18572865
21.75,634,23.04686404
21.75,636,23.18572865
21.75,636,23.18572865
21.75,634,23.04686404
21.75,636,23.18572865
21.75,637,23.25516096
21.75,635,23.11629635
21.75,635,23.11629635
21.75,637,23.25516096
21.75,635,23.11629635
21.75,634,23.04686404
21.75,637,23.25516096
21.75,636,23.18572865
21.75,636,23.18572865
21.75,636,23.18572865
21.75,637,23.25516096
21.75,634,23.04686404
21.75,635,23.11629635
21.75,637,23.25516096
21.75,635,23.11629635
21.75,635,23.11629635
21.75,637,23.25516096
21.75,635,23.11629635
21.75,634,23.04686404
21.75,637,23.25516096
21.75,637,23.25516096
21.75,634,23.04686404
21.75,636,23.18572865
21.75,637,23.25516096
21.75,635,23.11629635
21.75,635,23.11629635
21.75,637,23.25516096
21.75,635,23.11629635
21.75,634,23.04686404
21.75,637,23.25516096
21.75,636,23.18572865
21.75,634,23.04686404
21.75,637,23.25516096
21.75,636,23.18572865
21.75,635,23.11629635
21.75,636,23.18572865
21.75,637,23.25516096
21.75,636,23.18572865
21.75,636,23.18572865
21.75,635,23.11629635
21.75,635,23.11629635
21.75,636,23.18572865
21.75,635,23.11629635
21.75,635,23.11629635
21.75,635,23.11629635
21.75,635,23.11629635
21.75,636,23.18572865
21.75,635,23.11629635
21.75,635,23.11629635
21.75,635,23.11629635
21.75,636,23.18572865
21.75,635,23.11629635
21.75,635,23.11629635
21.75,636,23.18572865
21.75,635,23.11629635
21.75,635,23.11629635
21.75,635,23.11629635
21.75,635,23.11629635
21.75,636,23.18572865
21.75,635,23.11629635
21.75,635,23.11629635
21.75,636,23.18572865
21.75,635,23.11629635
21.75,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,636,23.18572865
22.5,638,23.32459326
