pressure_mmHg,sensVal,waveAmplitude,
pressure_mmHg, sensVal, waveAmplitude,
0,183,-4459.31,
0,185,-4508.05,
0,184,-4562.86,
0,182,-4513.26,
0,183,-4538.06,
0,185,-4587.66,
0,184,-4562.86,
0,182,-4513.26,
0,183,-4538.06,
0,185,-4508.05,
0,184,-4483.68,
0,182,-4434.95,
0,183,-4538.06,
0,185,-4587.66,
0,185,-4587.66,
0,182,-4513.26,
0,183,-4459.31,
0,186,-4612.46,
0,186,-4612.46,
0,183,-4383.25,
0,184,-4483.68,
0,186,-4532.42,
0,186,-4455.11,
0,184,-4562.86,
0,184,-4562.86,
0,187,-4556.78,
0,187,-4637.25,
0,185,-4587.66,
0,185,-4508.05,
0,187,-4637.25,
0,188,-4581.15,
0,186,-4455.11,
0,186,-4532.42,
0,188,-4662.05,
0,189,-4605.52,
0,188,-4662.05,
0,187,-4637.25,
0,189,-4686.85,
0,191,-4736.45,
0,189,-4686.85,
0,188,-4662.05,
0,190,-4629.89,
0,192,-4678.62,
0,191,-4654.26,
0,189,-4686.85,
0,191,-4736.45,
0,193,-4786.04,
0,192,-4761.25,
0,190,-4711.65,
0,192,-4761.25,
0,195,-4835.64,
0,193,-4702.99,
0,191,-4654.26,
0,193,-4702.99,
0,195,-4835.64,
0,195,-4835.64,
0,193,-4786.04,
0,194,-4727.36,
0,196,-4860.44,
0,196,-4860.44,
0,194,-4727.36,
0,194,-4727.36,
0,197,-4800.46,
0,197,-4718.58,
0,195,-4835.64,
0,195,-4835.64,
0,198,-4824.83,
0,198,-4910.03,
0,196,-4860.44,
0,196,-4776.09,
0,198,-4910.03,
0,199,-4934.83,
0,197,-4800.46,
0,196,-4776.09,
0,199,-4849.2,
0,200,-4959.63,
0,199,-4934.83,
0,197,-4885.24,
0,199,-4934.83,
0,201,-4984.43,
0,200,-4959.63,
0,198,-4910.03,
0,200,-4873.57,
0,203,-4946.67,
0,201,-4897.93,
0,199,-4934.83,
0,201,-4984.43,
0,203,-5034.03,
0,202,-5009.23,
0,201,-4984.43,
0,202,-5009.23,
0,204,-5058.82,
0,204,-5058.82,
0,202,-4922.3,
0,203,-4946.67,
0,206,-5019.77,
0,206,-5108.42,
0,205,-5083.62,
0,205,-4995.41,
0,208,-5158.02,
0,209,-5182.81,
0,207,-5044.14,
0,207,-5133.22,
0,210,-5117.24,
0,210,-5029.96,
0,208,-5068.51,
0,208,-5158.02,
0,211,-5141.61,
0,212,-5257.21,
0,210,-5207.61,
0,209,-5092.88,
0,212,-5257.21,
0,214,-5306.81,
0,211,-5053.91,
0,210,-5117.24,
0,213,-5190.35,
0,215,-5149.72,
0,213,-5282.01,
0,212,-5257.21,
0,215,-5239.08,
0,217,-5381.2,
0,216,-5356.4,
0,214,-5214.72,
0,216,-5356.4,
0,218,-5312.19,
0,217,-5197.63,
0,215,-5239.08,
0,217,-5381.2,
0,220,-5455.59,
0,219,-5430.8,
0,217,-5381.2,
0,218,-5406,
0,221,-5480.39,
0,221,-5480.39,
0,219,-5336.55,
0,220,-5360.92,
0,223,-5434.03,
0,224,-5458.39,
0,222,-5505.19,
0,222,-5505.19,
0,225,-5579.58,
0,226,-5604.38,
0,224,-5554.79,
0,223,-5529.99,
0,226,-5604.38,
0,228,-5555.87,
0,226,-5507.13,
0,225,-5482.76,
0,227,-5629.18,
0,230,-5703.58,
0.75,230,-5703.58,
6.75,230,-5703.58,
6.75,233,-5677.7,
6.75,236,-5852.36,
6.75,236,-5852.36,
6.75,236,-5750.81,
6.75,238,-5700.62,
6.75,242,-5897.01,
6.75,242,-6001.15,
6,241,-5976.35,
6,243,-5921.38,
6,247,-6125.14,
6,247,-6125.14,
6,246,-6100.35,
6,247,-6018.85,
6,251,-6116.33,
6,252,-6140.69,
6,250,-6091.96,
6,251,-6116.33,
6,256,-6348.33,
6,257,-6373.13,
6,254,-6298.73,
6,255,-6213.8,
6,259,-6422.72,
6,260,-6447.52,
6,258,-6286.9,
6,259,-6203.62,
6,262,-6384.37,
6,264,-6433.11,
6,262,-6497.12,
6,262,-6384.37,
6,265,-6571.51,
6,267,-6621.11,
6,265,-6571.51,
6,265,-6457.47,
6,268,-6645.91,
6,270,-6579.31,
6,269,-6554.95,
6,268,-6419.19,
6,271,-6720.3,
6,273,-6769.9,
6,272,-6745.1,
6,270,-6579.31,
6,273,-6769.9,
6,275,-6819.49,
6,274,-6794.69,
6,272,-6628.05,
6,275,-6701.15,
6,278,-6774.26,
6,276,-6844.29,
6,275,-6819.49,
6,277,-6869.09,
6,280,-6943.48,
6,279,-6918.68,
6,277,-6869.09,
6,279,-6918.68,
6,282,-6871.73,
6,281,-6847.36,
6,279,-6798.62,
6,281,-6968.28,
6,284,-7042.68,
6,284,-7042.68,
6,281,-6968.28,
6,283,-7017.88,
6,286,-7092.27,
6,286,-7092.27,
6,283,-6896.1,
6,284,-6920.46,
6,288,-7017.93,
6,288,-6898.23,
6,286,-7092.27,
6,286,-7092.27,
6.75,289,-7166.67,
6.75,290,-7191.46,
6.75,288,-7141.87,
6.75,288,-7141.87,
6.75,291,-7216.26,
6.75,292,-7115.41,
6.75,290,-7066.67,
6.75,290,-7066.67,
6.75,293,-7265.86,
6.75,294,-7290.66,
6.75,292,-7241.06,
6.75,291,-7216.26,
6.75,295,-7315.46,
6.75,296,-7340.25,
6.75,294,-7164.14,
6.75,294,-7164.14,
6.75,296,-7212.88,
6.75,298,-7261.61,
6.75,296,-7212.88,
6.75,295,-7315.46,
6.75,298,-7389.85,
6.75,300,-7439.45,
6.75,298,-7261.61,
6.75,297,-7365.05,
6.75,300,-7439.45,
6.75,302,-7359.08,
6.75,300,-7185.66,
6.75,298,-7261.61,
6.75,301,-7464.24,
6.75,304,-7538.64,
6.75,302,-7489.04,
6.75,300,-7439.45,
6.75,302,-7489.04,
6.75,304,-7538.64,
6.75,303,-7513.84,
6.75,301,-7334.72,
6.75,304,-7407.82,
6.75,306,-7456.56,
6.75,306,-7588.24,
6.75,303,-7513.84,
6.75,305,-7563.44,
6.75,308,-7637.83,
6.75,308,-7637.83,
6.75,305,-7432.19,
6.75,307,-7613.03,
6.75,310,-7554.03,
6.75,309,-7529.66,
6.75,307,-7353.32,
6.75,308,-7637.83,
7.5,312,-7737.02,
7.5,312,-7737.02,
7.5,309,-7529.66,
7.5,310,-7687.43,
7.5,313,-7761.82,
8.25,314,-7786.62,
8.25,311,-7449.13,
8.25,312,-7602.76,
8.25,315,-7675.87,
8.25,316,-7836.22,
8.25,313,-7627.13,
8.25,313,-7761.82,
8.25,317,-7861.01,
8.25,318,-7885.81,
8.25,315,-7811.42,
8.25,315,-7811.42,
8.25,318,-7885.81,
8.25,320,-7797.71,
8.25,318,-7748.97,
8.25,316,-7700.23,
8.25,319,-7910.61,
8.25,321,-7960.21,
8.25,319,-7910.61,
8.25,318,-7748.97,
8.25,320,-7935.41,
8.25,322,-7985.01,
8.25,321,-7960.21,
8.25,319,-7640.75,
8.25,321,-7822.07,
8.25,324,-7895.18,
8.25,322,-7985.01,
8.25,320,-7797.71,
8.25,322,-7985.01,
8.25,325,-8059.4,
8.25,324,-8034.6,
8.25,321,-7822.07,
8.25,322,-7985.01,
8.25,326,-7943.91,
8.25,325,-7919.54,
8.25,323,-7736.56,
8.25,323,-8009.8,
8.25,326,-8084.2,
8.25,326,-8084.2,
8.25,324,-7895.18,
8.25,323,-8009.8,
8.25,326,-8084.2,
8.25,328,-8133.79,
8.25,325,-7784.46,
8.25,324,-7895.18,
8.25,326,-7943.91,
8.25,328,-8133.79,
8.25,326,-7943.91,
8.25,325,-8059.4,
8.25,327,-8109,
8.25,329,-8158.59,
8.25,327,-7968.28,
8.25,325,-8059.4,
8.25,327,-7968.28,
8.25,330,-8041.38,
8.25,328,-7856.32,
8.25,326,-7943.91,
8.25,327,-8109,
8.25,330,-8183.39,
8.25,329,-8017.02,
8.25,327,-8109,
8.25,327,-8109,
8.25,330,-8183.39,
8.25,330,-8041.38,
8.25,327,-7968.28,
8.25,327,-7968.28,
8.25,330,-8041.38,
8.25,331,-8065.75,
9,328,-8133.79,
12,329,-8158.59,
16.5,333,-8257.79,
15.75,336,-8332.18,
15.75,335,-8163.22,
15.75,334,-8282.58,
15.75,337,-8211.96,
15.75,341,-8309.43,
15.75,340,-8285.06,
15.75,339,-8260.69,
15.75,341,-8456.17,
15.75,345,-8555.36,
15.75,345,-8555.36,
15.75,343,-8505.77,
15.75,345,-8406.9,
15.75,348,-8629.76,
15.75,349,-8504.37,
15.75,347,-8455.64,
15.75,348,-8480,
15.75,352,-8728.95,
15.75,353,-8753.75,
15.75,350,-8679.35,
15.75,351,-8704.15,
15.75,355,-8803.34,
15.75,356,-8674.95,
15.75,354,-8778.55,
15.75,354,-8626.21,
15.75,358,-8723.68,
15.75,359,-8748.05,
15.75,357,-8699.32,
15.75,357,-8852.94,
15.75,360,-8927.34,
15.75,363,-9001.73,
15.75,361,-8952.13,
15.75,360,-8772.42,
15.75,362,-8976.93,
15.75,365,-8894.26,
15.75,363,-8845.52,
15.75,362,-8821.15,
15.75,364,-8869.89,
15.75,367,-9100.92,
15.75,366,-9076.12,
15.75,364,-9026.53,
15,366,-9076.12,
15,369,-8991.73,
15.75,369,-9150.52,
15,367,-8942.99,
15,367,-8942.99,
15,370,-9016.1,
15,371,-9200.12,
15,368,-9125.72,
15,368,-9125.72,
15,372,-9224.91,
15,373,-9089.2,
15,370,-9175.32,
15,370,-9175.32,
15,373,-9089.2,
15,374,-9113.57,
15,372,-8910.22,
15,371,-9200.12,
15,373,-9249.71,
15,376,-9324.11,
15,374,-9274.51,
15,372,-9064.83,
15,373,-9249.71,
15,376,-9324.11,
15,375,-9137.94,
15,372,-9064.83,
15,374,-8958.12,
15,377,-9348.9,
15,377,-9348.9,
15,374,-9274.51,
15,374,-9274.51,
15,377,-9348.9,
15,378,-9373.7,
15,375,-9299.31,
15,374,-9113.57,
15,377,-9029.98,
15,379,-9235.41,
15,376,-9324.11,
15,374,-9274.51,
15,377,-9348.9,
15,379,-9235.41,
15,377,-9348.9,
15,375,-9299.31,
15,377,-9348.9,
15,380,-9259.78,
15.75,379,-9077.88,
15,376,-9162.3,
15.75,377,-9186.67,
15.75,380,-9423.3,
15.75,380,-9423.3,
15.75,376,-9162.3,
15.75,377,-9348.9,
15.75,380,-9423.3,
15.75,381,-9448.1,
15.75,377,-9348.9,
15.75,377,-9029.98,
15.75,380,-9259.78,
15.75,382,-9308.51,
15.75,379,-9398.5,
15.75,377,-9348.9,
15.75,380,-9259.78,
15.75,382,-9472.89,
15.75,379,-9398.5,
15.75,378,-9373.7,
15.75,380,-9423.3,
15.75,382,-9308.51,
15.75,380,-9259.78,
15.75,378,-9211.04,
15.75,379,-9398.5,
15.75,382,-9472.89,
15.75,381,-9448.1,
15.75,378,-9373.7,
15.75,379,-9398.5,
15.75,382,-9472.89,
15.75,381,-9448.1,
15.75,379,-9235.41,
15.75,379,-9235.41,
15.75,382,-9308.51,
16.5,383,-9497.69,
16.5,380,-9259.78,
16.5,379,-9398.5,
16.5,382,-9472.89,
16.5,384,-9522.49,
16.5,381,-9448.1,
16.5,380,-9259.78,
16.5,382,-9308.51,
16.5,385,-9381.61,
16.5,383,-9332.88,
16.5,381,-9448.1,
16.5,383,-9332.88,
16.5,385,-9547.29,
16.5,384,-9522.49,
16.5,382,-9472.89,
16.5,383,-9497.69,
16.5,386,-9405.98,
16.5,385,-9381.61,
16.5,383,-9332.88,
16.5,384,-9357.25,
16.5,387,-9596.89,
16.5,387,-9430.35,
16.5,384,-9522.49,
16.5,384,-9522.49,
16.5,387,-9596.89,
16.5,389,-9646.48,
16.5,386,-9405.98,
16.5,385,-9381.61,
16.5,388,-9454.72,
17.25,390,-9503.45,
17.25,387,-9596.89,
17.25,386,-9405.98,
17.25,388,-9621.68,
17.25,391,-9696.08,
18,389,-9646.48,
18,387,-9596.89,
18,389,-9646.48,
18,392,-9552.19,
18,391,-9527.82,
18,389,-9479.09,
18,390,-9503.45,
18,393,-9745.67,
18,392,-9720.88,
18,390,-9671.28,
18,391,-9696.08,
18,394,-9600.92,
18,395,-9795.27,
18,392,-9552.19,
18,392,-9552.19,
18,395,-9625.29,
18,396,-9649.66,
18,393,-9745.67,
18,393,-9745.67,
18,396,-9820.07,
18,398,-9869.66,
18,395,-9625.29,
18,393,-9745.67,
18,396,-9649.66,
18,398,-9698.4,
18,396,-9649.66,
18,394,-9770.47,
18,397,-9844.87,
18,399,-9894.46,
18,397,-9844.87,
18,395,-9625.29,
18,397,-9844.87,
18,400,-9919.26,
18,398,-9698.4,
18,396,-9649.66,
18,397,-9509.02,
18,400,-9747.13,
18,399,-9894.46,
18,396,-9820.07,
18,397,-9844.87,
18,401,-9771.5,
18,400,-9919.26,
18,397,-9844.87,
18,398,-9869.66,
18,401,-9771.5,
18,400,-9747.13,
18.75,397,-9674.03,
18.75,398,-9869.66,
18.75,401,-9944.06,
19.5,402,-9968.86,
