pressure_mmHg,sensVal,waveAmplitude
pressure_mmHg, sensVal, waveAmplitude,
12.75,625.00,-1027260.43,
12.75,625.00,-1540890.62,
12.75,624.00,-1025616.81,
12.75,625.00,-1540890.62,
12.75,624.00,-1025616.81,
12.75,624.00,-1538425.25,
12.75,624.00,-1538425.25,
12.75,624.00,-1025616.81,
12.75,623.00,-1535959.75,
12.75,623.00,-1023973.18,
12.75,623.00,-1535959.75,
12.75,623.00,-767979.93,
12.75,622.00,-1533494.37,
12.75,622.00,-1533494.37,
12.75,622.00,-1022329.62,
12.75,622.00,-1533494.37,
12.75,621.00,-1020686.00,
12.75,622.00,-1533494.37,
12.75,622.00,-1533494.37,
12.75,621.00,-1020686.00,
12.75,621.00,-1531028.87,
12.75,621.00,-1020686.00,
12.75,621.00,-1531028.87,
12.75,620.00,-1019042.37,
12.75,620.00,-1019042.37,
12.75,620.00,-1528563.50,
12.75,620.00,-1019042.37,
12.75,620.00,-1528563.50,
12.75,620.00,-1019042.37,
12.75,619.00,-1526098.12,
12.75,619.00,-1017398.75,
12.75,619.00,-1526098.12,
12.75,619.00,-1526098.12,
12.75,618.00,-1015755.12,
12.75,618.00,-1523632.62,
12.75,618.00,-1015755.12,
12.75,617.00,-1521167.25,
12.75,617.00,-1014111.50,
12.75,617.00,-1014111.50,
12.75,617.00,-1521167.25,
12.75,617.00,-1014111.50,
12.75,617.00,-1521167.25,
12.75,617.00,-1014111.50,
12.75,616.00,-1518701.75,
12.75,616.00,-1518701.75,
12.75,616.00,-1012467.87,
12.75,615.00,-1516236.37,
12.75,615.00,-1010824.25,
12.75,615.00,-1516236.37,
12.75,615.00,-1010824.25,
12.75,614.00,-756885.56,
12.75,614.00,-1513771.00,
12.75,614.00,-1009180.68,
12.75,614.00,-1513771.00,
12.75,613.00,-1007537.06,
12.75,613.00,-1511305.50,
12.75,614.00,-1009180.68,
12.75,613.00,-1511305.50,
12.75,613.00,-1511305.50,
12.75,613.00,-1007537.06,
12.75,613.00,-1511305.50,
12.75,612.00,-1005893.43,
12.75,612.00,-1508840.12,
12.75,613.00,-755652.81,
12.75,612.00,-1508840.12,
12.75,612.00,-1508840.12,
12.75,612.00,-1005893.43,
12.75,612.00,-1508840.12,
12.75,611.00,-1004249.81,
12.75,611.00,-1506374.62,
12.75,611.00,-1004249.81,
12.75,611.00,-1004249.81,
12.75,610.00,-1503909.25,
12.75,611.00,-1004249.81,
13.50,610.00,-1503909.25,
12.75,610.00,-1002606.18,
12.75,610.00,-1002606.18,
13.50,610.00,-1503909.25,
13.50,610.00,-1002606.18,
13.50,610.00,-1503909.25,
13.50,610.00,-1002606.18,
13.50,610.00,-1503909.25,
13.50,609.00,-1000962.56,
13.50,609.00,-1501443.87,
13.50,609.00,-1501443.87,
13.50,609.00,-1000962.56,
13.50,609.00,-1501443.87,
12.75,609.00,-1000962.56,
12.75,608.00,-1498978.37,
12.75,608.00,-1498978.37,
13.50,608.00,-999318.93,
12.75,609.00,-1501443.87,
12.75,608.00,-999318.93,
12.75,608.00,-1498978.37,
12.75,608.00,-999318.93,
12.75,608.00,-1498978.37,
12.75,607.00,-997675.37,
12.75,608.00,-1498978.37,
12.75,607.00,-1496513.00,
12.75,607.00,-997675.37,
12.75,607.00,-1496513.00,
12.75,607.00,-997675.37,
12.75,607.00,-1496513.00,
12.75,606.00,-996031.75,
12.75,606.00,-1494047.50,
13.50,606.00,-996031.75,
13.50,606.00,-1494047.50,
12.75,606.00,-996031.75,
12.75,606.00,-1494047.50,
12.75,606.00,-1494047.50,
13.50,605.00,-994388.12,
13.50,605.00,-1491582.12,
12.75,605.00,-994388.12,
12.75,605.00,-1491582.12,
12.75,604.00,-992744.50,
12.75,605.00,-994388.12,
12.75,605.00,-994388.12,
12.75,604.00,-1489116.75,
12.75,604.00,-1489116.75,
12.75,605.00,-994388.12,
12.75,604.00,-1489116.75,
12.75,604.00,-992744.50,
12.75,604.00,-1489116.75,
12.75,604.00,-992744.50,
12.75,604.00,-1489116.75,
12.75,604.00,-992744.50,
12.75,604.00,-1489116.75,
12.75,603.00,-1486651.25,
12.75,603.00,-743325.68,
12.75,604.00,-1489116.75,
13.50,603.00,-991100.87,
12.75,603.00,-1486651.25,
13.50,603.00,-991100.87,
13.50,603.00,-1486651.25,
13.50,603.00,-991100.87,
13.50,603.00,-1486651.25,
13.50,603.00,-1486651.25,
13.50,603.00,-991100.87,
13.50,602.00,-1484185.87,
13.50,603.00,-991100.87,
13.50,603.00,-1486651.25,
13.50,602.00,-742093.00,
13.50,602.00,-1484185.87,
13.50,602.00,-989457.25,
13.50,602.00,-1484185.87,
13.50,602.00,-1484185.87,
13.50,602.00,-989457.25,
12.75,602.00,-1484185.87,
13.50,601.00,-987813.62,
12.75,602.00,-1484185.87,
13.50,602.00,-989457.25,
12.75,602.00,-1484185.87,
12.75,601.00,-987813.62,
12.75,601.00,-1481720.37,
13.50,601.00,-987813.62,
12.75,601.00,-987813.62,
12.75,601.00,-1481720.37,
12.75,601.00,-987813.62,
12.75,601.00,-1481720.37,
12.75,601.00,-987813.62,
12.75,601.00,-1481720.37,
12.75,601.00,-987813.62,
13.50,600.00,-1479255.00,
12.75,600.00,-1479255.00,
12.75,600.00,-986170.00,
13.50,600.00,-1479255.00,
12.75,600.00,-986170.00,
12.75,600.00,-986170.00,
12.75,600.00,-986170.00,
13.50,599.00,-1476789.62,
12.75,599.00,-984526.43,
12.75,600.00,-1479255.00,
13.50,599.00,-984526.43,
12.75,599.00,-1476789.62,
12.75,599.00,-984526.43,
12.75,599.00,-1476789.62,
12.75,599.00,-984526.43,
12.75,599.00,-1476789.62,
12.75,599.00,-1476789.62,
12.75,599.00,-984526.43,
12.75,598.00,-982882.81,
12.75,599.00,-984526.43,
12.75,599.00,-1476789.62,
12.75,598.00,-982882.81,
12.75,598.00,-1474324.12,
12.75,598.00,-982882.81,
12.75,598.00,-1474324.12,
12.75,598.00,-1474324.12,
13.50,598.00,-982882.81,
13.50,598.00,-1474324.12,
13.50,597.00,-981239.18,
13.50,598.00,-1474324.12,
13.50,598.00,-982882.81,
12.75,598.00,-982882.81,
12.75,597.00,-981239.18,
12.75,597.00,-1471858.75,
12.75,597.00,-1471858.75,
12.75,597.00,-981239.18,
12.75,597.00,-1471858.75,
12.75,597.00,-981239.18,
12.75,597.00,-1471858.75,
12.75,596.00,-979595.56,
12.75,597.00,-1471858.75,
12.75,597.00,-1471858.75,
12.75,596.00,-979595.56,
12.75,596.00,-1469393.25,
12.75,596.00,-734696.68,
12.75,596.00,-1469393.25,
12.75,595.00,-977951.93,
12.75,596.00,-1469393.25,
12.75,596.00,-979595.56,
12.75,596.00,-1469393.25,
12.75,595.00,-1466927.87,
12.75,596.00,-979595.56,
12.75,595.00,-1466927.87,
12.75,595.00,-977951.93,
12.75,595.00,-1466927.87,
12.75,595.00,-977951.93,
12.75,594.00,-1464462.50,
12.75,595.00,-977951.93,
13.50,595.00,-977951.93,
13.50,595.00,-1466927.87,
13.50,594.00,-976308.31,
13.50,595.00,-1466927.87,
13.50,595.00,-977951.93,
13.50,594.00,-1464462.50,
13.50,594.00,-976308.31,
13.50,595.00,-1466927.87,
13.50,594.00,-976308.31,
13.50,594.00,-1464462.50,
13.50,595.00,-1466927.87,
13.50,595.00,-977951.93,
13.50,594.00,-976308.31,
13.50,594.00,-976308.31,
13.50,595.00,-1466927.87,
13.50,594.00,-976308.31,
13.50,594.00,-1464462.50,
13.50,595.00,-977951.93,
13.50,595.00,-1466927.87,
13.50,594.00,-976308.31,
13.50,594.00,-1464462.50,
13.50,594.00,-1464462.50,
13.50,594.00,-976308.31,
13.50,594.00,-1464462.50,
13.50,594.00,-976308.31,
13.50,594.00,-976308.31,
13.50,594.00,-976308.31,
13.50,594.00,-1464462.50,
13.50,594.00,-976308.31,
13.50,594.00,-1464462.50,
13.50,594.00,-976308.31,
13.50,594.00,-1464462.50,
13.50,594.00,-1464462.50,
13.50,594.00,-976308.31,
13.50,594.00,-1464462.50,
13.50,594.00,-976308.31,
13.50,593.00,-1461997.00,
13.50,593.00,-974664.68,
13.50,594.00,-976308.31,
13.50,594.00,-976308.31,
13.50,593.00,-1461997.00,
13.50,594.00,-976308.31,
13.50,594.00,-1464462.50,
13.50,594.00,-976308.31,
13.50,593.00,-1461997.00,
13.50,594.00,-1464462.50,
13.50,594.00,-976308.31,
13.50,593.00,-1461997.00,
13.50,593.00,-974664.68,
13.50,594.00,-1464462.50,
13.50,593.00,-974664.68,
13.50,593.00,-1461997.00,
13.50,593.00,-974664.68,
13.50,594.00,-1464462.50,
13.50,593.00,-974664.68,
13.50,593.00,-1461997.00,
13.50,593.00,-974664.68,
13.50,593.00,-1461997.00,
13.50,593.00,-974664.68,
13.50,594.00,-1464462.50,
13.50,593.00,-1461997.00,
13.50,593.00,-974664.68,
13.50,593.00,-1461997.00,
13.50,593.00,-974664.68,
13.50,593.00,-1461997.00,
13.50,593.00,-974664.68,
13.50,593.00,-1461997.00,
13.50,593.00,-974664.68,
13.50,592.00,-1459531.62,
13.50,593.00,-974664.68,
13.50,593.00,-1461997.00,
13.50,592.00,-973021.12,
13.50,592.00,-1459531.62,
13.50,592.00,-1459531.62,
12.75,592.00,-973021.12,
12.75,592.00,-1459531.62,
12.75,592.00,-973021.12,
12.75,592.00,-1459531.62,
12.75,591.00,-971377.50,
12.75,592.00,-1459531.62,
12.75,592.00,-973021.12,
12.75,592.00,-1459531.62,
12.75,591.00,-1457066.12,
12.75,592.00,-973021.12,
12.75,591.00,-1457066.12,
12.75,591.00,-971377.50,
12.75,591.00,-1457066.12,
12.75,591.00,-971377.50,
12.75,591.00,-1457066.12,
12.75,590.00,-1454600.75,
13.50,591.00,-971377.50,
13.50,591.00,-1457066.12,
13.50,590.00,-969733.87,
12.75,591.00,-1457066.12,
12.75,591.00,-971377.50,
12.75,590.00,-1454600.75,
13.50,590.00,-969733.87,
12.75,591.00,-1457066.12,
13.50,590.00,-1454600.75,
13.50,590.00,-969733.87,
12.75,590.00,-1454600.75,
13.50,591.00,-728533.12,
12.75,590.00,-1454600.75,
12.75,590.00,-969733.87,
13.50,590.00,-1454600.75,
12.75,590.00,-969733.87,
13.50,589.00,-1452135.37,
13.50,590.00,-969733.87,
13.50,590.00,-1454600.75,
13.50,589.00,-1452135.37,
13.50,589.00,-968090.25,
13.50,590.00,-1454600.75,
13.50,589.00,-968090.25,
13.50,589.00,-1452135.37,
13.50,589.00,-726067.68,
13.50,590.00,-1454600.75,
13.50,589.00,-968090.25,
13.50,589.00,-1452135.37,
13.50,589.00,-1452135.37,
