Raw Value,Voltage (V),Current (mA),Receiver Ultrasound,Pressure (mmHg)
2042,1.65,9.14,747.0,24.11
2035,1.64,9.11,739.0,23.96
2030,1.64,9.09,739.0,23.85
2023,1.63,9.06,739.0,23.71
2042,1.65,9.14,738.0,24.11
2025,1.63,9.07,734.0,23.75
2018,1.63,9.03,734.0,23.6
2020,1.63,9.04,735.0,23.64
2016,1.62,9.03,736.0,23.56
2017,1.63,9.03,735.0,23.58
1999,1.61,8.95,733.0,23.2
2018,1.63,9.03,736.0,23.6
2016,1.62,9.03,735.0,23.56
2022,1.63,9.05,731.0,23.69
2023,1.63,9.06,734.0,23.71
2013,1.62,9.01,734.0,23.5
2021,1.63,9.05,737.0,23.66
2020,1.63,9.04,730.0,23.64
2025,1.63,9.07,729.0,23.75
2021,1.63,9.05,731.0,23.66
2022,1.63,9.05,733.0,23.69
2026,1.63,9.07,731.0,23.77
2029,1.64,9.08,731.0,23.83
2028,1.63,9.08,731.0,23.81
2029,1.64,9.08,730.0,23.83
2013,1.62,9.01,732.0,23.5
2030,1.64,9.09,731.0,23.85
2037,1.64,9.12,735.0,24.0
2068,1.67,9.26,737.0,24.65
2095,1.69,9.38,745.0,25.22
2116,1.71,9.47,752.0,25.66
2122,1.71,9.5,752.0,25.78
2127,1.71,9.52,752.0,25.89
2112,1.7,9.46,750.0,25.57
2108,1.7,9.44,752.0,25.49
2114,1.7,9.46,751.0,25.62
2111,1.7,9.45,747.0,25.55
2111,1.7,9.45,749.0,25.55
2109,1.7,9.44,749.0,25.51
2103,1.69,9.42,749.0,25.39
2098,1.69,9.39,747.0,25.28
2105,1.7,9.42,750.0,25.43
2101,1.69,9.41,749.0,25.34
2096,1.69,9.38,747.0,25.24
2099,1.69,9.4,748.0,25.3
2122,1.71,9.5,746.0,25.78
2103,1.69,9.42,747.0,25.39
2096,1.69,9.38,747.0,25.24
2101,1.69,9.41,749.0,25.34
2099,1.69,9.4,747.0,25.3
2096,1.69,9.38,746.0,25.24
2099,1.69,9.4,745.0,25.3
2099,1.69,9.4,745.0,25.3
2097,1.69,9.39,747.0,25.26
2096,1.69,9.38,742.0,25.24
2096,1.69,9.38,743.0,25.24
2096,1.69,9.38,749.0,25.24
2097,1.69,9.39,743.0,25.26
2094,1.69,9.37,742.0,25.2
2096,1.69,9.38,746.0,25.24
2097,1.69,9.39,743.0,25.26
2097,1.69,9.39,747.0,25.26
2100,1.69,9.4,740.0,25.32
2096,1.69,9.38,744.0,25.24
2097,1.69,9.39,746.0,25.26
2106,1.7,9.43,747.0,25.45
2111,1.7,9.45,745.0,25.55
2128,1.71,9.53,750.0,25.91
2162,1.74,9.68,757.0,26.62
2215,1.78,9.92,766.0,27.74
2246,1.81,10.06,775.0,28.39
2255,1.82,10.1,774.0,28.58
2274,1.83,10.18,777.0,28.97
2256,1.82,10.1,784.0,28.6
2279,1.84,10.2,784.0,29.08
2277,1.83,10.19,783.0,29.04
2275,1.83,10.19,781.0,29.0
2273,1.83,10.18,779.0,28.95
2271,1.83,10.17,783.0,28.91
2271,1.83,10.17,780.0,28.91
2271,1.83,10.17,784.0,28.91
2267,1.83,10.15,784.0,28.83
2270,1.83,10.16,782.0,28.89
2269,1.83,10.16,782.0,28.87
2266,1.83,10.14,781.0,28.81
2270,1.83,10.16,784.0,28.89
2273,1.83,10.18,782.0,28.95
2269,1.83,10.16,784.0,28.87
2268,1.83,10.15,779.0,28.85
2270,1.83,10.16,781.0,28.89
2273,1.83,10.18,783.0,28.95
2263,1.82,10.13,782.0,28.74
2262,1.82,10.13,780.0,28.72
2262,1.82,10.13,781.0,28.72
2267,1.83,10.15,784.0,28.83
2266,1.83,10.14,777.0,28.81
2265,1.83,10.14,781.0,28.79
2259,1.82,10.11,781.0,28.66
2261,1.82,10.12,781.0,28.7
2261,1.82,10.12,780.0,28.7
2256,1.82,10.1,782.0,28.6
2263,1.82,10.13,778.0,28.74
2262,1.82,10.13,780.0,28.72
2267,1.83,10.15,783.0,28.83
2259,1.82,10.11,783.0,28.66
2262,1.82,10.13,779.0,28.72
2259,1.82,10.11,779.0,28.66
2262,1.82,10.13,782.0,28.72
2265,1.83,10.14,787.0,28.79
2262,1.82,10.13,775.0,28.72
2265,1.83,10.14,783.0,28.79
2266,1.83,10.14,780.0,28.81
2267,1.83,10.15,786.0,28.83
2269,1.83,10.16,784.0,28.87
2265,1.83,10.14,784.0,28.79
2272,1.83,10.17,778.0,28.93
2279,1.84,10.2,784.0,29.08
2282,1.84,10.22,782.0,29.14
2280,1.84,10.21,784.0,29.1
2287,1.84,10.24,793.0,29.25
2286,1.84,10.23,784.0,29.23
2279,1.84,10.2,779.0,29.08
2276,1.83,10.19,774.0,29.02
2286,1.84,10.23,784.0,29.23
2278,1.84,10.2,786.0,29.06
2272,1.83,10.17,783.0,28.93
2273,1.83,10.18,784.0,28.95
2274,1.83,10.18,785.0,28.97
2277,1.83,10.19,784.0,29.04
2274,1.83,10.18,784.0,28.97
2273,1.83,10.18,784.0,28.95
73,1.83,10.18,784.0,28.95
2274,1.83,10.18,784.0,28.97
2270,1.83,10.16,785.0,28.89
2273,1.83,10.18,784.0,28.95
2285,1.84,10.23,784.0,29.21
2275,1.83,10.19,784.0,29.0
2277,1.83,10.19,784.0,29.04
2271,1.83,10.17,789.0,28.91
2273,1.83,10.18,788.0,28.95
2272,1.83,10.17,788.0,28.93
2270,1.83,10.16,784.0,28.89
2275,1.83,10.19,784.0,29.0
2271,1.83,10.17,785.0,28.91
2274,1.83,10.18,787.0,28.97
2272,1.83,10.17,788.0,28.93
2267,1.83,10.15,787.0,28.83
2256,1.82,10.1,787.0,28.6
2271,1.83,10.17,784.0,28.91
2275,1.83,10.19,789.0,29.0
2273,1.83,10.18,789.0,28.95
2272,1.83,10.17,788.0,28.93
2272,1.83,10.17,787.0,28.93
2276,1.83,10.19,787.0,29.02
2274,1.83,10.18,790.0,28.97
2271,1.83,10.17,788.0,28.91
2277,1.83,10.19,786.0,29.04
2274,1.83,10.18,788.0,28.97
2274,1.83,10.18,790.0,28.97
2279,1.84,10.2,794.0,29.08
2274,1.83,10.18,788.0,28.97
2278,1.84,10.2,793.0,29.06
2279,1.84,10.2,791.0,29.08
2273,1.83,10.18,789.0,28.95
2282,1.84,10.22,793.0,29.14
2285,1.84,10.23,791.0,29.21
2287,1.84,10.24,798.0,29.25
2298,1.85,10.29,791.0,29.48
2291,1.85,10.26,796.0,29.33
2321,1.87,10.39,803.0,29.96
2349,1.89,10.52,805.0,30.55
2367,1.91,10.6,815.0,30.93
2358,1.9,10.56,815.0,30.74
2355,1.9,10.54,813.0,30.67
2354,1.9,10.54,812.0,30.65
2353,1.9,10.53,813.0,30.63
2355,1.9,10.54,811.0,30.67
2384,1.92,10.67,818.0,31.28
2351,1.89,10.53,816.0,30.59
2317,1.87,10.37,803.0,29.88
2337,1.88,10.46,810.0,30.3
2336,1.88,10.46,807.0,30.28
2334,1.88,10.45,809.0,30.23
2339,1.88,10.47,810.0,30.34
2330,1.88,10.43,812.0,30.15
